text,label
Software de facturare și gestiune stocuri,financiar
Creare platforme e-commerce custom,it
Instalare sisteme de irigații automate,agricultura
Campanii publicitare pe TikTok și Snapchat,marketing
Consultanta în agricultură biodinamică,agricultura
Securizare rețele și protecție date,it
Tratamente fitosanitare ecologice,agricultura
Testare penetrare și securitate IT,it
Consultări nutriționale și planuri alimentare,medical
Furnizare îngrășăminte organice premium,agricultura
Sisteme de irigații prin stropire,agricultura
Sisteme de management al relațiilor cu clienții,it
Infrastructură cloud și scalare,it
Gestiune fiscală și raportare TVA,financiar
Meditații la fizică pentru bacalaureat,educatie
Strategii de marketing pe YouTube,marketing
Analiză financiară și rapoarte performanță,financiar
Dezvoltare aplicații mobile personalizate,it
Marketing digital și optimizare conversii,marketing
Pregătire examene admitere drept,educatie
Utilaje agricole moderne și echipamente,agricultura
